RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,UPSIDE ,BUST ,SOS SEASON,ECR VS. ADP,AUCTION VALUE,VALUE MATCH STATUS,MAX OFFER
1,1,Jahmyr Gibbs,DET,RB1,6,Coach Upside rating,Coach Bust rating,5 out of 5 stars,0,57,Matched by normalized name,61
2,1,Bijan Robinson,ATL,RB2,11,Coach Upside rating,Coach Bust rating,2 out of 5 stars,0,56,Matched by normalized name,60
3,1,Ja'Marr Chase,CIN,WR1,6,Coach Upside rating,Coach Bust rating,4 out of 5 stars,0,55,Matched by normalized name,57
4,1,Puka Nacua,LAR,WR2,11,Coach Upside rating,Coach Bust rating,1 out of 5 stars,0,56,Matched by normalized name,58
5,1,Jaxon Smith-Njigba,SEA,WR3,11,Coach Upside rating,Coach Bust rating,3 out of 5 stars,0,54,Matched by normalized name,56
6,2,Jonathan Taylor,IND,RB3,13,Coach Upside rating,Coach Bust rating,4 out of 5 stars,0,52,Matched by normalized name,56
7,2,Amon-Ra St. Brown,DET,WR4,6,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+1,52,Matched by normalized name,54
8,2,Christian McCaffrey,SF,RB4,8,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-1,53,Matched by normalized name,57
9,2,CeeDee Lamb,DAL,WR5,14,Coach Upside rating,Coach Bust rating,2 out of 5 stars,0,51,Matched by normalized name,53
10,2,James Cook III,BUF,RB5,7,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+2,46,Matched by normalized name,50
11,2,Justin Jefferson,MIN,WR6,6,Coach Upside rating,Coach Bust rating,5 out of 5 stars,-1,48,Matched by normalized name,50
12,3,Nico Collins,HOU,WR7,8,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+10,31,Matched by normalized name,33
13,3,Drake London,ATL,WR8,11,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+7,45,Matched by normalized name,47
14,3,Derrick Henry,BAL,RB6,13,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+4,50,Matched by normalized name,54
15,3,Ashton Jeanty,LV,RB7,13,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-4,37,Matched by normalized name,41
16,3,Brock Bowers,LV,TE1,13,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+5,32,Matched by normalized name,35
17,3,A.J. Brown,NE,WR9,11,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+2,30,Matched by normalized name,32
18,3,Saquon Barkley,PHI,RB8,10,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-5,35,Matched by normalized name,39
19,3,George Pickens,DAL,WR10,14,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+5,30,Matched by normalized name,32
20,3,De'Von Achane,MIA,RB9,6,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-4,42,Matched by normalized name,46
21,4,Trey McBride,ARI,TE2,14,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+7,40,Matched by normalized name,43
22,4,Josh Allen,BUF,QB1,7,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+12,22,Matched by normalized name,24
23,4,Omarion Hampton,LAC,RB10,7,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-9,36,Matched by normalized name,40
24,4,Chris Olave,NO,WR11,8,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+5,25,Matched by normalized name,27
25,4,Kenneth Walker III,KC,RB11,5,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-10,32,Matched by normalized name,36
26,4,Chase Brown,CIN,RB12,6,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-9,27,Matched by normalized name,31
27,4,Rashee Rice,KC,WR12,5,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-1,43,Matched by normalized name,45
28,4,Tee Higgins,CIN,WR13,6,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+5,17,Matched by normalized name,18
29,4,Drake Maye,NE,QB2,11,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+38,10,Matched by normalized name,12
30,4,Lamar Jackson,BAL,QB3,13,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+26,10,Matched by normalized name,12
31,4,Tetairoa McMillan,CAR,WR14,5,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+8,29,Matched by normalized name,30
32,4,Kyren Williams,LAR,RB13,11,Coach Upside rating,Coach Bust rating,5 out of 5 stars,0,26,Matched by normalized name,29
33,5,Josh Jacobs,GB,RB14,11,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+8,34,Matched by normalized name,37
34,5,Malik Nabers,NYG,WR15,8,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+2,18,Matched by normalized name,19
35,5,DeVonta Smith,PHI,WR16,10,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-10,19,Matched by normalized name,20
36,5,Zay Flowers,BAL,WR17,13,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-6,23,Matched by normalized name,24
37,5,Colston Loveland,CHI,TE3,10,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+10,13,Matched by normalized name,16
38,5,Javonte Williams,DAL,RB15,14,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-1,22,Matched by normalized name,25
